Country Name,Country Code,2015 [YR2015]
Afghanistan,AFG,5.405
Albania,ALB,1.613
Algeria,DZA,3.041
American Samoa,ASM,..
Andorra,AND,..
Angola,AGO,5.774
Antigua and Barbuda,ATG,1.567
Argentina,ARG,2.301
Armenia,ARM,1.602
Aruba,ABW,1.972
Australia,AUS,1.814
Austria,AUT,1.49
Azerbaijan,AZE,1.94
"Bahamas, The",BHS,1.576
Bahrain,BHR,2.131
Bangladesh,BGD,2.114
Barbados,BRB,1.614
Belarus,BLR,1.724
Belgium,BEL,1.7
Belize,BLZ,2.438
Benin,BEN,5.319
Bermuda,BMU,1.4
Bhutan,BTN,1.957
Bolivia,BOL,2.886
Bosnia and Herzegovina,BIH,1.289
Botswana,BWA,2.942
Brazil,BRA,1.777
British Virgin Islands,VGB,1.186
Brunei Darussalam,BRN,1.947
Bulgaria,BGR,1.53
Burkina Faso,BFA,5.478
Burundi,BDI,5.695
Cabo Verde,CPV,2.117
Cambodia,KHM,2.55
Cameroon,CMR,4.832
Canada,CAN,1.6
Cayman Islands,CYM,..
Central African Republic,CAF,6.035
Chad,TCD,6.706
Channel Islands,CHI,1.521
Chile,CHL,1.737
China,CHN,1.67
Colombia,COL,1.863
Comoros,COM,4.418
"Congo, Dem. Rep.",COD,6.437
"Congo, Rep.",COG,4.564
Costa Rica,CRI,1.79
Cote d'Ivoire,CIV,4.813
Croatia,HRV,1.41
Cuba,CUB,1.694
Curacao,CUW,1.9
Cyprus,CYP,1.326
Czechia,CZE,1.57
Denmark,DNK,1.71
Djibouti,DJI,3.066
Dominica,DMA,1.694
Dominican Republic,DOM,2.43
Ecuador,ECU,2.26
"Egypt, Arab Rep.",EGY,3.436
El Salvador,SLV,2.067
Equatorial Guinea,GNQ,4.774
Eritrea,ERI,4.217
Estonia,EST,1.58
Eswatini,SWZ,3.117
Ethiopia,ETH,4.531
Faroe Islands,FRO,2.419
Fiji,FJI,2.642
Finland,FIN,1.65
France,FRA,1.96
French Polynesia,PYF,1.905
Gabon,GAB,3.889
"Gambia, The",GMB,5.314
Georgia,GEO,2.204
Germany,DEU,1.5
Ghana,GHA,4.05
Gibraltar,GIB,2.186
Greece,GRC,1.33
Greenland,GRL,2.01
Grenada,GRD,2.126
Guam,GUM,2.922
Guatemala,GTM,3.029
Guinea,GIN,5.022
Guinea-Bissau,GNB,4.671
Guyana,GUY,2.534
Haiti,HTI,3.108
Honduras,HND,2.581
"Hong Kong SAR, China",HKG,1.196
Hungary,HUN,1.45
Iceland,ISL,1.8
India,IND,2.287
Indonesia,IDN,2.345
"Iran, Islamic Rep.",IRN,2.053
Iraq,IRQ,4.09
Ireland,IRL,1.85
Isle of Man,IMN,1.711
Israel,ISR,3.09
Italy,ITA,1.35
Jamaica,JAM,1.588
Japan,JPN,1.45
Jordan,JOR,3.175
Kazakhstan,KAZ,2.74
Kenya,KEN,3.8
Kiribati,KIR,3.53
"Korea, Dem. People's Rep.",PRK,1.884
"Korea, Rep.",KOR,1.239
Kosovo,XKX,1.751
Kuwait,KWT,2.16
Kyrgyz Republic,KGZ,3.2
Lao PDR,LAO,2.766
Latvia,LVA,1.7
Lebanon,LBN,2.178
Lesotho,LSO,3.264
Liberia,LBR,4.523
Libya,LBY,2.711
Liechtenstein,LIE,1.4
Lithuania,LTU,1.7
Luxembourg,LUX,1.47
"Macao SAR, China",MAC,1.196
Madagascar,MDG,4.183
Malawi,MWI,4.452
Malaysia,MYS,2.039
Maldives,MDV,1.99
