Node,Class,Child mortality (%),Expected Years of Schooling (years),Gross National Income Per Capita (2017 PPP$),Human Development Index (value),Life Expectancy at Birth (years),"Maternal Mortality Ratio (deaths per 100,000 live births)",Mean Years of Schooling (years),GDP,"Fertility rate, total (births per woman)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)"
AFG,1.0,10.009,10.483,2142.689,0.479,62.659,775.693,2.124,18753456498,5.405,209.573,278.424,54.6
AUS,1.0,,23.248,46562.891,0.933,82.655,5.244,12.246,1.33E+12,1.814,45.231,78.367,3.3
AUT,1.0,,16.033,52352.336,0.91,81.159,5.671,12.077,4.17E+11,1.49,44.687,84.688,3.1
BHR,2.0,,16.069,45765.107,0.859,79.405,15.747,9.107,35423643617,2.131,51.933,64.528,6.5
BEL,1.0,,19.792,50155.165,0.924,80.89,5.203,11.894,5.03E+11,1.7,53.983,89.437,3.4
BRA,1.0,49.761,15.245,14730.375,0.752,74.332,62.176,7.507,2.06E+12,1.777,84.634,178.498,14.2
BGR,1.0,,15.079,19375.69,0.809,74.632,7.502,11.188,59309748166,1.53,86.607,185.528,6.8
CAN,1.0,,15.953,46798.979,0.927,81.925,11.661,13.698,1.65E+12,1.6,50.736,81.203,4.7
LKA,2.0,,13.361,11919.441,0.76,74.927,30.369,10.464,94376237797,2.091,73.577,174.89,7.5
CHL,1.0,,16.392,23886.428,0.846,79.746,16.213,10.256,2.76E+11,1.737,61.873,109.658,6.8
COL,2.0,11.995,14.645,14032.543,0.758,76.257,70.006,8.047,3.12E+11,1.863,73.966,145.399,13.4
CZE,1.0,,16.955,33678.653,0.891,78.58,3.501,12.673,2.19E+11,1.57,53.074,112.244,2.6
DNK,1.0,,19.297,54520.04,0.936,80.738,5.601,12.638,3.32E+11,1.71,51.397,82.945,3.5
ECU,1.0,,15.131,11697.388,0.764,76.789,65.912,8.702,1.04E+11,2.26,83.275,139.174,13.2
EST,2.0,,16.121,30363.496,0.883,77.656,6.123,13.489,26924385103,1.58,62.825,169.877,2.4
FIN,1.0,,19.311,45515.943,0.93,81.418,7.261,12.634,2.56E+11,1.65,43.601,94.538,2.0
FRA,1.0,,15.514,44282.823,0.893,82.186,7.595,11.334,2.60E+12,1.96,49.377,101.59,3.2
GEO,2.0,,15.394,12334.658,0.798,73.297,29.701,12.716,16473125375,2.204,73.545,224.903,9.3
DEU,1.0,,17.112,52322.297,0.941,80.574,4.593,14.082,3.69E+12,1.5,50.173,92.451,3.3
GRC,2.0,,18.172,28237.388,0.881,80.668,5.363,10.744,2.00E+11,1.33,38.853,95.382,3.6
HUN,1.0,,15.318,26203.762,0.839,75.652,14.784,11.848,1.43E+11,1.45,85.926,177.627,4.2
ISL,2.0,,19.353,50197.423,0.948,82.351,3.419,13.369,24728285177,1.8,43.185,67.533,2.1
IND,1.0,,11.814,5349.577,0.619,69.636,127.676,5.691,2.65E+12,2.287,144.478,202.425,36.5
IRQ,2.0,,11.566,9309.567,0.656,69.44,101.939,6.623,1.87E+11,4.09,146.13,200.684,24.7
IRL,1.0,,18.709,55036.926,0.924,81.416,6.485,11.289,3.37E+11,1.85,47.709,74.33,3.2
ITA,1.0,,15.954,39968.617,0.881,82.525,6.502,10.306,1.96E+12,1.35,38.612,67.307,3.0
JOR,2.0,,12.174,9838.659,0.738,75.011,46.134,10.376,41608435915,3.175,78.452,118.291,15.1
KWT,2.0,,14.668,60058.006,0.829,79.562,6.79,7.073,1.21E+11,2.16,34.744,64.129,7.8
LBY,1.0,,14.514,19444.29,0.749,71.698,71.183,7.803,67157452182,2.711,117.077,218.903,11.4
MYS,2.0,,13.285,23494.472,0.792,75.094,22.337,10.255,3.19E+11,2.039,81.839,160.29,7.0
MLI,2.0,,7.026,2013.093,0.409,58.363,493.752,1.832,15365713048,6.385,243.937,289.451,70.0
NAM,2.0,,11.635,10810.321,0.627,60.7,299.005,6.986,12895153160,3.604,319.94,454.913,33.1
NLD,1.0,,18.269,52434.717,0.932,81.482,5.155,12.135,8.34E+11,1.66,49.464,66.691,3.5
NZL,1.0,,18.95,39695.611,0.933,81.977,8.65,13.231,2.07E+11,1.99,52.403,76.511,4.6
NIC,2.0,,11.578,5360.281,0.644,72.983,79.394,6.68,13785943183,2.48,104.225,198.756,16.5
NOR,1.0,,17.78,66031.134,0.952,82.272,2.405,12.771,4.02E+11,1.72,41.989,65.805,2.2
PHL,2.0,,12.612,8070.972,0.696,71.268,88.039,8.796,3.28E+11,2.951,118.793,162.725,22.1
POL,1.0,,16.155,26636.077,0.869,77.415,2.101,12.921,5.25E+11,1.32,63.434,163.904,4.2
QAT,2.0,,12.489,99811.294,0.852,80.064,7.198,9.696,1.61E+11,1.864,42.036,50.6,6.6
SAU,2.0,,14.224,49700.97,0.842,76.918,15.822,9.941,7.15E+11,2.637,78.663,98.495,7.8
SVN,2.0,,17.272,32757.596,0.903,80.822,5.038,12.567,48589100043,1.57,45.527,101.185,2.1
ZAF,1.0,,14.606,13574.601,0.721,63.95,141.159,10.234,3.81E+11,2.359,277.004,392.511,29.8
ESP,1.0,,17.404,37385.841,0.889,82.646,3.881,9.912,1.31E+12,1.33,38.837,77.049,2.8
SWE,1.0,,18.321,51362.632,0.937,82.183,4.446,12.354,5.41E+11,1.85,39.95,66.933,2.3
CHE,1.0,,16.156,67919.933,0.952,82.847,6.463,13.712,6.95E+11,1.54,36.484,62.284,3.7
ARE,2.0,,12.633,68400.742,0.86,79.223,9.386,10.674,3.91E+11,1.486,49.538,73.993,6.1
TUR,1.0,,17.788,25415.686,0.821,76.646,19.385,7.958,8.59E+11,2.194,54.342,124.737,11.5
UKR,2.0,,13.771,11671.553,0.764,73.458,11.105,11.164,1.12E+11,1.506,79.053,247.382,8.1
EGY,1.0,,11.887,10348.887,0.695,70.483,23.94,8.568,2.48E+11,3.436,114.943,204.216,19.7
GBR,1.0,,17.308,43714.153,0.923,80.924,8.391,12.98,2.68E+12,1.8,54.081,84.576,3.9
USA,1.0,,16.596,59469.662,0.924,78.869,17.378,13.252,1.96E+13,1.8435,80.429,134.303,5.8
ALB,1.0,,15.912,12016.281,0.797,78.644,6.878,9.996,13019726212,1.613,46.822,86.126,8.5
ARG,2.0,,17.585,23506.881,0.85,76.76,39.335,10.918,6.44E+11,2.301,76.307,143.506,10.5
LVA,2.0,,16.094,26505.449,0.853,74.685,22.237,12.87,30483806018,1.7,85.92,234.554,4.3
LUX,1.0,,14.115,72288.536,0.914,81.838,6.921,12.457,65712180343,1.47,36.401,72.385,2.2
MLT,1.0,,15.491,37766.59,0.887,82.962,4.196,11.214,13484541926,1.37,29.26,53.663,5.7
MNE,0.0,,15.294,18645.983,0.827,76.756,6.115,11.87,4856599481,1.74,71.989,130.19,3.5
ROU,1.0,,14.582,23694.012,0.813,74.79,14.757,10.984,2.10E+11,1.62,76.955,185.508,7.7
SMR,0.0,,13.482,48612.749,0.872,82.927,,10.73,1528621195,,,,1.8
SRB,2.0,,14.547,14856.202,0.794,75.817,12.685,11.018,44179075779,1.46,69.586,142.205,5.4
SVK,2.0,,14.85,28154.474,0.852,76.649,4.888,12.638,95649966261,1.4,64.859,156.171,5.2
MKD,2.0,,12.972,14686.772,0.777,75.981,4.517,10.83,11307067070,1.49,59.986,109.211,9.9
DZA,2.0,,14.838,11475.066,0.736,75.622,89.133,7.153,1.90E+11,3.041,73.471,101.649,21.7
GUF,0.0,,,,,,,,,,,,
PYF,0.0,,,,,,,,5833352693,1.905,31.523,54.909,
GAB,2.0,,12.195,13603.217,0.692,65.46,212.233,8.98,14929487485,3.889,199.247,284.023,35.4
GHA,2.0,,11.176,4473.41,0.586,63.175,285.773,6.538,60405924079,4.05,225.065,281.403,39.2
GLP,0.0,,,,,,,,,,,,
MRT,2.0,,8.635,5010.955,0.536,64.485,509.992,4.216,6800135898,4.813,173.052,223.822,37.3
MEX,2.0,,14.234,19044.731,0.769,74.682,52.027,8.602,1.19E+12,2.137,96.767,187.351,14.0
MAR,2.0,,12.601,7568.452,0.656,72.92,96.581,5.38,1.19E+11,2.531,100.723,141.134,20.1
NCL,0.0,,,,,,,,9174048682,2.08,60.028,133.68,
NER,2.0,,5.836,1180.184,0.367,61.083,490.623,1.443,11185104252,7.211,213.254,256.035,63.5
